Product Name,My Product URL,Competitor 1 URL,Competitor 2 URL
4 Seasons Outdoor Calpi Lounge Set With Footstool And Yoga Side And Coffee Table,https://themodernfurniturecompany.com/products/4-seasons-outdoor-calpi-lounge-with-footstool-and-90cm-table,https://www.pavilionbroadway.co.uk/outdoor-lisboa-dining-chair.html,https://www.pavilionbroadway.co.uk/prego-outdoor-dining-260cm.html
4 Seasons Outdoor Calpi Footstool Anthracite With Cushion,https://themodernfurniturecompany.com/products/4-seasons-outdoor-calpi-footstool-anthracite-with-cushion,https://www.pavilionbroadway.co.uk/outdoor-calpi-6-seat-dining-set-with-noah-260cm-dining-table.html,https://www.pavilionbroadway.co.uk/prego-outdoor-dining-chair-anthracite-taupe.html
4 Seasons Outdoor Calpi Living Bench 3 Seater with 3 Cushions,https://themodernfurniturecompany.com/products/4-seasons-outdoor-calpi-living-bench-3-seater-with-3-cushions,https://www.pavilionbroadway.co.uk/puccini-living-chair-latte-with-2-cushions.html,https://www.pavilionbroadway.co.uk/calpi-outdoor-dining-chair.html
4 Seasons Outdoor Calpi Low Dining Chair Anthracite with 2 cushions,https://themodernfurniturecompany.com/products/4-seasons-outdoor-calpi-low-dining-chair-anthracite-with-2-cushions-packed-in-2s,https://www.pavilionbroadway.co.uk/sempre-outdoor-dining-chair-teak-silver-grey.html,https://www.jbfurniture.co.uk/four-seasons-calpi-lounge-bench.html
